yyyy,mm,tmax,tmin,latitude,longitude
1991,10,13.1,6.8,,
1991,11,9.7,3,,
1991,12,7.3,1.6,,
1992,1,5.8,0.2,,
1992,2,9.1,2.3,,
1992,3,10.8,3.4,,
1992,4,12.6,4.2,,
1992,5,18.3,7.5,,
1992,6,20.1,9.6,,
1992,7,19.9,11.2,,
1992,8,18.9,10.1,,
1992,9,16.8,8.9,,
1992,10,10.8,3.6,,
1992,11,10.7,3.1,,
1992,12,6.1,-0.5,,
1993,1,9.1,2.1,,
1993,2,7.5,1.7,,
1993,3,10.2,2.4,,
1993,4,13.3,5,,
1993,5,15.6,6.3,,
1993,6,19.4,9.5,,
1993,7,19.2,10.3,,
1993,8,18.5,8.8,,
1993,9,15.9,7.6,,
1993,10,11.2,3.8,,
1993,11,6.7,0.6,,
1993,12,7.9,1.5,,
1994,1,8,1.3,,
1994,2,5.7,-0.4,,
1994,3,11,4,,
1994,4,12.1,3.3,,
1994,5,14.5,6.1,,
1994,6,18.7,9.1,,
1994,7,22.9,11.3,,
1994,8,20,11,,
1994,9,15.9,8.6,,
1994,10,13.6,5.7,,
1994,11,12.5,6.5,,
1994,12,9.4,2.6,,
1995,1,8.1,0.7,,
1995,2,9.5,2.9,,
1995,3,9.6,0.6,,
1995,4,13.3,4,,
1995,5,16.3,6,,
1995,6,19.1,8.7,,
1995,7,23.8,12.9,,
1995,8,25.2,12.2,,
1995,9,17.5,8.3,,
1995,10,16.3,8.2,,
1995,11,10.3,3.1,,
1995,12,4.2,-1,,
1996,1,6,2.5,,
1996,2,5.6,-1.7,,
1996,3,6.8,1.4,,
1996,4,12.6,3.5,,
1996,5,13.4,4.1,,
1996,6,19.2,7.7,,
1996,7,21.3,10.2,,
1996,8,21.1,11.3,,
1996,9,17.8,8.3,,
1996,10,14.7,7.4,,
1996,11,9.1,1.6,,
1996,12,5.2,-0.4,,
1997,1,4.9,-1.2,,
1997,2,10,3,,
1997,3,11.8,3.7,,
1997,4,13.1,4,,
1997,5,16.2,5.7,,
1997,6,17.5,9.5,,
1997,7,21.3,10.8,,
1997,8,23.4,13,,
1997,9,17.6,9.4,,
1997,10,13.6,4.9,,
1997,11,11.2,5.1,,
1997,12,8.2,2.2,,
1998,1,7.3,1.6,,
1998,2,10.9,3.5,,
1998,3,11.3,4.4,,
1998,4,10.9,3.1,,
1998,5,17.3,7.7,,
1998,6,17.7,10.1,,
1998,7,19.1,10.9,,
1998,8,20.2,10.4,,
1998,9,17.9,10.2,,
1998,10,13.5,6.5,,
1998,11,9.1,1.8,,
1998,12,8.3,0.2,,
1999,1,8.5,1.1,,
1999,2,8.2,1.3,,
1999,3,10.4,3.2,,
1999,4,13.5,4.8,,
1999,5,16.7,8.4,,
1999,6,18.1,8.9,,
1999,7,22.5,11.7,,
1999,8,19.9,11.1,,
1999,9,19.6,10,,
1999,10,14.3,6.3,,
1999,11,10.6,4.1,,
1999,12,7.8,1.1,,
2000,1,8,1.4,,
2000,2,9.5,1.9,,
2000,3,10.9,2.5,,
2000,4,11.5,3.2,,
2000,5,16.5,6.1,,
2000,6,18.8,10.1,,
2000,7,19.4,10.6,,
2000,8,20.6,10.8,,
2000,9,18.3,10.3,,
2000,10,13.6,5.8,,
2000,11,9.7,2.8,,
2000,12,7.9,2.4,,
2001,1,5.8,-0.8,,
2001,2,7.7,-0.2,,
2001,3,8.5,1.2,,
2001,4,11.2,3,,
2001,5,17.1,6.9,,
2001,6,18.7,9.6,,
2001,7,21.3,11.6,,
2001,8,20.8,11.3,,
2001,9,16.7,9.7,,
2001,10,16.1,9.6,,
2001,11,11,3.4,,
2001,12,6.4,-0.7,,
2002,1,8.3,1.5,,
2002,2,9.9,3.3,,
2002,3,11.1,2.8,,
2002,4,13.7,3.2,,
2002,5,15.6,7.3,,
2002,6,18.1,9.4,,
2002,7,19.7,10.9,,
2002,8,20.6,11.7,,
2002,9,18.3,8.9,,
2002,10,13.1,5.6,,
2002,11,11.3,4.9,,
2002,12,7.4,3.5,,
2003,1,7.3,1,,
2003,2,7.2,-0.5,,
2003,3,12,1.1,,
2003,4,14.5,3.9,,
2003,5,15.9,7.2,,
2003,6,20.4,10.3,,
2003,7,21.2,12.1,,
2003,8,22.1,12,,
2003,9,19.2,7.9,,
2003,10,12.8,3.9,,
2003,11,11,3.7,,
2003,12,7.8,0.9,,
2004,1,7.9,2,,
2004,2,8.3,1.8,,
2004,3,10.2,2,,
2004,4,13.1,5.4,,
2004,5,16.5,6.5,,
2004,6,19.5,10.1,,
2004,7,19.5,10.5,,
2004,8,21.2,12.5,,
2004,9,18.6,10.3,,
2004,10,13.5,6.7,,
2004,11,10.5,4.3,,
2004,12,8.8,2.2,,
2005,1,9.1,3.3,,
2005,2,7,1,,
2005,3,10.5,3.9,,
2005,4,12.9,4.5,,
2005,5,15.7,6.6,,
2005,6,20.4,10.4,,
2005,7,20.3,11.8,,
2005,8,21,10.3,,
2005,9,19.4,10.1,,
2005,10,15.7,10.1,,
2005,11,9.6,1.5,,
2005,12,7.7,0.9,,
2006,1,6.6,0.7,,
2006,2,6.4,0.6,,
2006,3,7.9,1.2,,
2006,4,12.3,4.4,,
2006,5,16.2,7.7,,
2006,6,20.9,10.5,,
2006,7,25.6,12.7,,
2006,8,19.7,11.8,,
2006,9,20.5,11.4,,
2006,10,15.6,8.4,,
2006,11,11.6,3.2,,
2006,12,8.8,3.3,,
2007,1,9.8,3.5,,
2007,2,8.8,1.9,,
2007,3,11,2,,
2007,4,16.3,4.4,,
2007,5,16.1,6.8,,
2007,6,19,10.5,,
2007,7,18.8,10.8,,
2007,8,19.7,10.4,,
2007,9,17.6,9.4,,
2007,10,14.6,6.1,,
2007,11,10.6,4,,
2007,12,7.9,1.6,,
2008,1,9.7,2.8,,
